"Дата","Плановые_доходы","Фактические_доходы","Дополнительные_поступления","Исполнение_доп_доходов","Плановые_расходы","Фактические_расходы","Дополнительные_расходы","Исполнение_доп_расходов"
2020-01-01,412374892,406582713,3287416,3114278,472819267,464502831,3142908,3019547
2020-02-01,414577568.781004,408694518.926601,3374254.81188058,3220381.49244892,475829514.130184,464425787.961293,3254135.35573203,3137993.91327308
2020-03-01,416691855.878086,410725417.480766,3452567.08216841,3314239.49987097,478520297.13311,464638081.851119,3352644.04640526,3242254.83732189
2020-04-01,418722420.704837,412679299.920083,3522907.21255013,3396592.89365028,480912013.240901,465121763.449588,3439190.50441054,3333145.17843434
2020-05-01,420673930.674849,414560057.502137,3585829.60471237,3468182.54517096,483025059.685679,465858883.536809,3514531.16213872,3411480.34289831
2020-06-01,422551053.201713,416371581.484517,3641888.66034177,3529749.32581715,484879833.699565,466831492.892891,3579422.45198065,3478075.73700167
2020-07-01,424358455.699021,418117763.12481,3691638.78112498,3582034.10697296,486496732.514683,468021642.297942,3634620.80632716,3533746.76703233
2020-08-01,426100805.580365,419802493.680602,3735634.36874862,3625777.76002253,487896153.363153,469411382.532072,3680882.65756912,3579308.83927817
2020-09-01,427782770.259335,421429664.409482,3774429.82489933,3661721.15634997,489098493.477098,470982764.375389,3718964.43809737,3615577.36002707
2020-10-01,429409017.149524,423003166.569036,3808579.55126376,3690605.16733941,490124150.088641,472717838.608003,3749622.58030276,3643367.73556693
2020-11-01,430984213.664522,424526891.416851,3838637.94952854,3713170.66437497,490993520.429903,474598656.010022,3773613.51657613,3663495.37218562
2020-12-01,432513027.217921,426004730.210515,3865159.42138031,3730158.51884078,491727001.733006,476607267.361556,3791693.67930834,3676775.67617105
2021-01-01,434000125.223312,427440574.207615,3888698.36850571,3742309.60212096,492344991.230072,478725723.442713,3804619.50089022,3684024.05381108
2021-02-01,435450175.094288,428838314.665737,3909809.19259137,3750364.78559963,492867886.153224,480936075.033603,3813147.41371264,3686055.91139362
2021-03-01,436867844.244439,430201842.84247,3929046.29532393,3755064.94066092,493316083.734583,483220372.914334,3818033.85016644,3683686.65520655
2021-04-01,438257806.542193,431535067.087099,3946964.42935933,3757151.77603926,493710012.489125,485560622.144866,3820036.07831159,3677733.1978851
2021-05-01,439625516.891143,432843963.844427,3964160.81463782,3757468.319855,494073886.156998,487933295.647018,3820012.48217198,3669194.7200931
2021-06-01,440977947.081357,434138526.108402,3981315.14888328,3757054.37754834,494439269.948729,490304122.107387,3819017.82801552,3659424.39412014
